//HSK 1 Study
爱	ai4	n. love
八	ba1	num. eight
爸爸	ba4ba5	n. dad
杯子	bei1zi5	n. cup
北京	Bei3jing1	n. Beijing
本	ben3	m. measure word for books
不	bu4	adv. not
不客气	bu4ke4qi5	phr. You're welcome (not polite)
菜	cai4	n. food
茶	cha2	n. tea
吃	chi1	v. eat
出租车	chu1zu1che1	n. taxi
打电话	da3dian4hua4	v. to call, call up
大	da4	adj. big
的	de5	adv. of, possessive particle, really/truly, suffix for self
点	dian3	n. o'clock, time
电脑	dian4nao3	n. computer
电视	dian4shi4	n. TV
电影	dian4ying3	n. movie
东西	dong1xi5	n. thing
都	dou1	adv. all, both, entirely
读	du2	v. read
对不起	dui4bu5qi3	phr. sorry, excuse me, apology
多	duo1	adj. many, much, multi, odd, excessive
多少	duo1shao5	phr. how much, how many
儿子	er2zi5	n. son
二	er4	num. two
饭店	fan4dian4	n. restaurant
飞机	fei1ji1	n. airplane
分钟	fen1zhong1	n. minute
高兴	gao1xing4	adj. happy
个	ge4	m. measure word
工作	gong1zuo4	n. work
狗	gou3	n. dog
汉语	Han4yu3	n. Chinese
好	hao3	adj. good
号	hao4	n. number
喝	he1	v. drink
和	he2	conj. and (e.g., "him and her" → "ta1 he2 ta1")
很	hen3	adv. very
后面	hou4mian5	adv. later
回	hui2	v. back, go back, return
会	hui4	v. can, able to
几	ji3	pron. how many (less than 10), several
家	jia1	n. home
叫	jiao4	v. call, be called
今天	jin1tian1	n. today
九	jiu3	num. nine
开	kai1	v. open, start
看	kan4	v. look
看见	kan4jian5	v. see, sight
块	kuai4	n. piece, money
来	lai2	v. come, incoming, arrive
老师	lao3shi1	n. teacher
了	le5	part. particle, change in state
冷	leng3	adj. cold
里	li3	prep. inside, in
六	liu4	num. six
妈妈	ma1ma5	n. mama
吗	ma5	part. particle, changes to yes/no question
买	mai3	v. buy, purchase
猫	mao1	n. cat
没关系	mei2guan1xi5	phr. it doesn't matter
没有	mei2you3	v. no, have not
米饭	mi3fan4	n. rice
名字	ming2zi5	n. name
明天	ming2tian1	n. tomorrow
哪	na3	pron. where, which, what
哪儿	na3r5	pron. where
那	na4	pron. that, those
呢	ne5	part. question particle (e.g., "ni ne?" → "how about you?")
能	neng2	v. able, can
你	ni3	pron. you
年	nian2	n. year
女儿	nü3er2	n. daughter
朋友	peng2you5	n. friend
漂亮	piao4liang5	adj. beautiful
苹果	ping2guo3	n. apple
七	qi1	num. seven
前面	qian2mian5	n. in front
钱	qian2	n. money, cash, coin
请	qing3	v. please
去	qu4	v. go
热	re4	adj. hot
人	ren2	n. person
认识	ren4shi5	v. to know
三	san1	num. three
商店	shang1dian4	n. store, shop
上	shang4	prep. on, upper, previous, above, up, superior
上午	shang4wu3	n. morning
少	shao3	adj. small, few
谁	shei2	pron. who, whose, whoever
什么	shen2me5	pron. what?
十	shi2	num. ten
时候	shi2hou5	n. when, time, moment
是	shi4	v. be, exist, correct, yes
书	shu1	n. book
水	shui3	n. water
水果	shui3guo3	n. fruit
睡觉	shui4jiao4	v. sleep, go to bed/sleep
说	shuo1	v. speak, say, explain, tell, talk
四	si4	num. four
